X,Y,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL
5.417997480190753,43.304688934605103,MARSEILLE,MARIE GASQUET,LYCEE,PRIVE,RUE DES ELECTRICIENS,
5.459829891313172,43.303634951293404,MARSEILLE,LA CADENELLE,LYCEE,PRIVE,BD DES LIBERATEURS,
5.460187414551842,43.30248232710403,MARSEILLE,LA CADENELLE,LYCEE,PRIVE,BD DES LIBERATEURS,
5.441764915128793,43.313909141256843,MARSEILLE,HAMASKAINE,LYCEE,PRIVE,TRAVERSE DES SABLES JAUNES,
5.417952394803689,43.304922114208239,MARSEILLE,MARIE GASQUET,LYCEE,PRIVE,RUE DES ELECTRICIENS,
5.424318354199539,43.309080103726693,MARSEILLE,MAESTRIS MARSEILLE HC,LYCEE,PRIVE,TRAV MARIDET,
5.404143978753531,43.320494538541951,MARSEILLE,LACORDAIRE,LYCEE,PRIVE,BD LACORDAIRE,
5.418304184190457,43.32859950870283,MARSEILLE,SEVIGNE,LYCEE,PRIVE,AVE DE SAINT JEROME,
5.417038939091901,43.335312270766188,MARSEILLE,JACQUES RAYNAUD,LYCEE,PRIVE,BD HERODOTE,
5.421176233261574,43.33520958605822,MARSEILLE,LES ABEILLES (CHARLOTTE GRAWITZ),LYCEE,PRIVE,BD REMUSAT,
5.423774385752449,43.336048288367458,MARSEILLE,ST FRANCOIS DE SALES (MAISON),LYCEE,PRIVE,BD MADELEINE REMUSAT,
5.410749175517513,43.31763066456913,MARSEILLE,YAVNE,LYCEE,PRIVE,BD BARRY,
5.388473733190982,43.344057459571033,MARSEILLE,TOUR SAINTE,LYCEE,PRIVE,AVE DE LA TOUR SAINTE,
5.362696757804953,43.334450993631371,MARSEILLE,LA CABUCELLE,LYCEE,PRIVE,BD DENIS PAPIN,
5.374705197835584,43.345918368579888,MARSEILLE,LA VIGIE,LYCEE,PRIVE,PCE LA BASTIDE  LA MAURELETTE,
5.355888102898135,43.346766383587124,MARSEILLE,SAINT LOUIS,LYCEE,PRIVE,RUE RENE MARIANI / 538 CH DE LA MADRAGUE,
5.339171207428785,43.365685445620443,MARSEILLE,ST HENRI,LYCEE,PRIVE,CH DE BERNEX,
5.340896190874046,43.361026291908082,MARSEILLE,ST ANDRE ROUTIERS,LYCEE,PRIVE,BD HENRI BARNIER,
5.426533854898239,43.305623482616092,MARSEILLE,DE L'OLIVIER-ROBERT COFFY-,LYCEE,PRIVE,AVE DES CAILLOLS,
5.493336842157481,43.299992731238184,MARSEILLE,MELIZAN,LYCEE,PRIVE,RTE DES CAMOINS,
5.378746849088195,43.29416848506591,MARSEILLE,JEANNE MICHAUD,LYCEE,PRIVE,RUE PISANCON,
5.380775281250173,43.297804912335323,MARSEILLE,SOINS ESTHET ET COIFFURE,LYCEE,PRIVE,BD DUGOMMIER,
5.38315735117579,43.26664598434018,MARSEILLE,COIFFURE LEADER,LYCEE,PRIVE,AVENUE DU PRADO,
5.390316402707875,43.26945696983185,MARSEILLE,L OLYMPIQUE DE MARSEILLE,LYCEE,PRIVE,RUE NEGRESCO,
5.467181466894367,43.516783559780997,AIX EN PROVENCE,ECOLE PRIVE VAL SAINT ANDRE,LYCEE,PRIVE,"19, avenue Malacrida",
5.445178869110521,43.520854750329946,AIX EN PROVENCE,BAC 2000,LYCEE,PRIVE,"13, rue de la poudrière",
5.452976001111978,43.528569347152199,AIX EN PROVENCE,LE SACRE COEUR,LYCEE,PRIVE,"29, rue Manuel",
5.450957217785303,43.530638856953338,AIX EN PROVENCE,SAINTE CATHERINE DE SIENNE,LYCEE,PRIVE,"20, rue Mignet",
5.4556877183997,43.532342083726341,AIX EN PROVENCE,INSTITUT LESCHI LES CHEMINS,LYCEE,PRIVE,"34,avenue Sainte Victoire",
5.43355103487517,43.512400276343726,AIX EN PROVENCE,LA NATIVITE,LYCEE,PRIVE,"8, rue Jean Andréani",
5.392766247456395,43.509643586858033,AIX EN PROVENCE,IBS OF PROVENCE,LYCEE,PRIVE,route de Bouc bel Air,
5.571474581332769,43.292099165316934,AUBAGNE,LOUIS RIQUET,LYCEE,PRIVE,Montée des Aires,
5.616504688876829,43.284935480672999,GEMENOS,SAINT JEAN DE GARGUIER,LYCEE,PRIVE,Chemin du Puits,
5.445178869110521,43.520854750329946,AIX EN PROVENCE,SAINT ELOI,LEGTA,PRIVE,"13, rue de la poudrière",
4.804138868696906,43.387676410311421,PORT SAINT LOUIS,HENRI LEROY,LYC,PRIVE,"1, rue des coles",13230
5.436165606509062,43.535210014719603,AIX EN PROVENCE,CELONY,LP,PRIVE,"4, bis avenue de lattre  de tassigny",
5.082727653582182,43.640216060081741,SALON DE PROVENCE,SAINT JEAN,LYC,PRIVE,76 avenue Gerorges Borel,13300
5.095089736924487,43.644780963861002,SALON DE PROVENCE,LE ROCHER,LP,PRIVE,,
5.044512527303787,43.420693843243605,MARTIGUES,BRISES LAMES,LP,PRIVE,Route de la Vierge,
5.242477422202709,43.448596493144976,VITROLLES,CAUCADIS,LP,PRIVE,Boulevard Alfred Casile,
5.446906513730376,43.532052560061373,AIX EN PROVENCE,SAINTE MARIE,LP,PRIVE,,13100
5.445178869110521,43.520854750329946,AIX EN PROVENCE,SAINT ELOI,LEGTA,PRIVE,"13, rue de la poudrière",
4.804138868696906,43.387676410311421,PORT SAINT LOUIS,HENRI LEROY,LP,PRIVE,"1, rue des coles",13230
5.452707584872054,43.526240775663624,AIX EN PROVENCE,CLOVIS HUGUES,LP,PRIVE,1 rue Fernand Dol,13100
