X,Y,COMMUNE,STATUT,DESIGNATIO,TOTAL
5.399465016877008,43.265599904797263,MARSEILLE,PUBLIC,COIN JOLI SEVIGNE,284
5.40387165250468,43.250371393879064,MARSEILLE,PRIVE,SAINTE TRINITE,433
5.408427474023983,43.270401821997247,MARSEILLE,PRIVE,LA SOURCE (INST. FRANCO HEBR.),57
5.41908761211215,43.264083783539128,MARSEILLE,PRIVE,PASTRE,368
5.419344956624444,43.268978857763884,MARSEILLE,PRIVE,BETH MYRIAM,74
5.404632869156519,43.270353766031498,MARSEILLE,PUBLIC,LOUIS PASTEUR,471
5.405533576203506,43.278103652393838,MARSEILLE,PUBLIC,ROMAIN ROLLAND,283
5.405660985926215,43.279026068975888,MARSEILLE,PUBLIC,VINCENT SCOTTO,190
5.413470303158588,43.279198367183845,MARSEILLE,PUBLIC,PONT DE VIVAUX,363
5.432659944710879,43.28439275066615,MARSEILLE,PUBLIC,BARTAVELLES (LES),616
5.406651441800133,43.281142446690509,MARSEILLE,PRIVE,O.R.T.,137
5.458258031949025,43.287515958549569,MARSEILLE,PUBLIC,FRANCOIS VILLON,365
5.466019285151095,43.288081719664191,MARSEILLE,PUBLIC,CHATEAU FORBIN,642
5.483899028259575,43.298508243739676,MARSEILLE,PUBLIC,RUISSATEL (LE),832
5.497809089985408,43.291757636198334,MARSEILLE,PRIVE,N D DE LA JEUNESSE,348
5.429043541124115,43.29957057933413,MARSEILLE,PUBLIC,LOUIS ARMAND,634
5.422882914572231,43.314826465280497,MARSEILLE,PUBLIC,ANDRE CHENIER,608
5.442882869552548,43.310098221301921,MARSEILLE,PUBLIC,CAILLOLS (QUARTIER DES),697
5.437341646626162,43.316503007784483,MARSEILLE,PRIVE,HAMASKAINE,96
5.407777902959957,43.300357553833422,MARSEILLE,PUBLIC,DARIUS MILHAUD,603
5.404973319152372,43.330384295871596,MARSEILLE,PUBLIC,EDMOND ROSTAND,396
5.425750310843847,43.332952529123219,MARSEILLE,PUBLIC,STEPHANE MALLARME,425
5.427431141624156,43.328565720766505,MARSEILLE,PUBLIC,JACQUES PREVERT,453
5.429562685706967,43.332461753494037,MARSEILLE,PUBLIC,JEAN GIONO,337
5.463133650663676,43.355236661029956,PLAN-DE-CUQUES,PUBLIC,Olympe de GOUGES,654
