nom,lon,lat
Espace François Mitterrand,5.4826066,43.334622
Salle des fêtes,5.1778946,43.7293557
Cercle des Arts et Métiers,5.095418,43.641097
Salle Paul Eluard,5.602306,43.18351
Centre de Développement Culturel,4.81348,43.63849
Conservatoire Français du Cheval Lipizzan,5.300517,43.725739
Compagnie de danse Geneviève Sorin,5.381041,43.317649
Atelier Vis à Vis,5.386115,43.309648
Cinémémoire,5.3894925,43.3033341
Centre culturel Frais Vallon,5.4253757,43.3649321
Cinémathèque de Marseille,5.3805899,43.3007026
CIRVA,5.370384,43.302832
La boîte à musique,5.2643461,43.6546664
Cola Production / Africa Fête,5.3904579,43.3095508
Maison de Quartier Le Lavoir du Pin Vert,5.5699,43.300916
Le Kawawateï,5.3868205,43.2915097
L'Atelier des arts,5.407967,43.267141
Films Femmes Méditerranée,5.3822795,43.2887214
FRAC (Fonds régional d'art contemporain),5.367505400000027,43.305706
Centre socio-culturel,5.66052,43.629047
Place des Anciens Combattants,5.6563119,43.6415919
La Buzine Maison des Cinématographies de la Méditerranée,5.499918,43.2951205
Centre socioculturel de Cazan,5.190138,43.687608
Salle des Fêtes,4.753785,43.901762
Salle Agora Alpilles,4.80463,43.724064
Forum des Jeunes et de la Culture,5.16702,43.48836
